n 21290336 36.6858757 -4.4743734
n 21290417 36.6856277 -4.4742129
n 529391733 36.6855133 -4.474075
n 529391732 36.6855112 -4.4737813
n 529391731 36.6855683 -4.4736869
n 21497132 36.7195722 -4.4549221
n 351935750 36.7194063 -4.4550377
n 889169365 36.7196463 -4.4555969
n 351936596 36.7196644 -4.4558043
n 359002460 36.7197447 -4.4569476
n 248605204 36.6950163 -4.4463728
n 3502691618 36.6948007 -4.4461868
n 248605206 36.694522 -4.4456332
n 248741632 36.694434 -4.4403257
n 1130782787 36.6943684 -4.4403714
n 915409012 36.6939596 -4.4406239
n 677395298 36.6929166 -4.4412545
n 248741684 36.70018 -4.4361045
n 478899198 36.6926396 -4.4440728
n 677401238 36.6928532 -4.4439923
n 677401135 36.6931638 -4.4438749
n 677396207 36.6934883 -4.4437179
n 1486944920 36.6940298 -4.443501
n 764440519 36.6943037 -4.4433828
n 677373980 36.6951998 -4.4429932
n 248666045 36.6870909 -4.4526728
n 2880069706 36.6875246 -4.4524392
n 806551247 36.6884325 -4.4518814
n 2860154029 36.6888007 -4.4516585
n 806550471 36.689586 -4.4512056
n 248605275 36.6943861 -4.440233
n 248741687 36.7001135 -4.4360301
n 248738456 36.7095721 -4.4275058
n 4415054182 36.7108364 -4.426317
n 396025351 36.7210371 -4.4116984
n 418221294 36.7210561 -4.4122567
n 2611021590 36.7158696 -4.4298925
n 419829569 36.7148299 -4.4305174
n 419829552 36.7141914 -4.4312711
n 248742430 36.7141268 -4.4319122
n 248666331 36.6856822 -4.453475
n 5245590711 36.6861365 -4.4532033
n 369825154 36.6866028 -4.4529244
n 362322611 36.6866902 -4.4525257
n 248737717 36.6870907 -4.452913
n 418991468 36.7327064 -4.4266722
n 418991364 36.7319 -4.4267648
n 248738454 36.7097049 -4.4278708
n 248738452 36.7095849 -4.4279466
n 248741682 36.7003128 -4.4361713
n 248741659 36.700071 -4.4358864
n 248606000 36.6995854 -4.4367463
n 677390167 36.6974375 -4.4382998
n 1469834814 36.6896867 -4.4430371
n 248742106 36.6897317 -4.4431277
n 248742435 36.7138256 -4.4321565
n 248742433 36.7139241 -4.4319458
n 248606010 36.7174864 -4.4198336
n 891455259 36.719558 -4.4125735
n 303010197 36.719709 -4.4123419
n 3691964514 36.7177001 -4.419732
n 362329758 36.7039516 -4.441053
n 250318024 36.7036113 -4.440839
n 4533777892 36.70948 -4.4279505
n 3773084887 36.7088562 -4.4284955
n 248605985 36.7088661 -4.4341487
n 3768748700 36.7087791 -4.434037
n 250317862 36.7094823 -4.4450097
n 250317864 36.7094533 -4.4446888
n 1945776782 36.7044591 -4.4540303
n 1145370917 36.704548 -4.4538236
n 1145370948 36.7053184 -4.4521408
n 683397962 36.7040471 -4.4408434
n 3386131862 36.7043044 -4.4411225
